title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
"님아,그강을건너지마오",130013,9.24,다큐멘터리,진모영,조병만,한경수제작,50,20
갓파쿠와여름방학을,68502,9.24,애니메이션,하라케이이치,김연우,하라케이이치각본,50,40
내겐너무소중한너,201898,9.24,드라마,이창원,진구,이창원각본,83,20
미녀와야수,13172,9.24,애니메이션,게리트러스데일,페이지오하라,린다울버턴각본,0,0
아름다운비행,17903,9.24,가족,캐롤발라드,제프다니엘스,빌리쉬맨각본,0,0
"미안해요,리키",185275,9.24,드라마,켄로치,크리스히친,폴래버티각본,39,30
인셉션,52515,9.24,액션,크리스토퍼놀란,레오나르도디카프리오,크리스토퍼놀란각본,59,20
로미오와줄리엣,10185,9.24,드라마,프랑코제페렐리,레너드위팅,프랑코브루사티각본,0,0
말아톤,39436,9.24,드라마,정윤철,조승우,윤진호각본,0,0
프린스앤프린세스,31170,9.24,애니메이션,미셸오슬로,이베스바사크,미셸오슬로각본,0,0
마지막황제,10314,9.23,드라마,베르나르도베르톨루치,존론,마크피플각본,83,20
핵소고지,142305,9.23,드라마,멜깁슨,앤드류가필드,로버트쉔컨각본,55,20
타인의삶,63403,9.23,드라마,플로리안헨켈폰도너스마르크,울리히뮤흐,플로리안헨켈폰도너스마르크각본,0,0
마이너리티리포트,31788,9.23,SF,스티븐스필버그,톰크루즈,스콧프랭크각본,0,0
크루즈패밀리,79435,9.23,애니메이션,커크드미코,니콜라스케이지,커크드미코각본,0,0
크림슨타이드,17486,9.23,액션,토니스콧,덴젤워싱턴,마이클쉬퍼각본,0,0
명탐정코난:천공의난파선,75216,9.23,애니메이션,야마모토야스이치로,타카야마미나미,코우치카즈나리각본,0,0
킹콩을들다,50672,9.23,드라마,박건용,이범수,박건용각본,0,0
극장판헬로카봇:백악기시대,175727,9.23,애니메이션,최신규,이지현,조정희각본,75,30
잉여들의히치하이킹,115298,9.23,다큐멘터리,이호재,이호재,정수연사운드디자인,76,20
1987,158191,9.23,드라마,장준환,김윤석,김경찬각본,44,20
고녀석맛나겠다,79749,9.23,애니메이션,후지모리마사야,야마구치캇페이,무라카미오사무각본,0,0
벤허,10058,9.23,드라마,윌리엄와일러,찰톤헤스톤,칼턴버그각본,37,20
사랑은비를타고,10105,9.23,뮤지컬,진켈리,진켈리,아돌프그린각본,50,20
백발마녀전,12993,9.23,액션,우인태,장국영,우인태각본,0,0
위대한독재자,10341,9.23,코미디,찰리채플린,찰리채플린,찰리채플린각본,67,20
레드슈즈,164907,9.23,애니메이션,홍성호,클로이모레츠,홍성호각본,43,30
맨오브오너,31148,9.23,드라마,조지틸만주니어,로버트드니로,스콧마샬스미스각본,0,0
엽문,48602,9.22,액션,엽위신,견자단,황자환각본,0,0
똥파리,68031,9.22,드라마,양익준,양익준,양익준각본,33,20
라이언,134841,9.22,드라마,가스데이비스,써니파와르,루크데이비스각본,44,20
이티,10018,9.22,SF,스티븐스필버그,헨리토마스,멜리사머디슨각본,0,0
미이라,24542,9.22,모험,스티븐소머즈,브렌든프레이저,스티븐소머즈각본,0,0
페이스오프,18552,9.22,액션,오우삼,존트라볼타,마이크워브각본,0,0
빠삐용,10046,9.22,모험,프랭클린J.샤프너,스티브맥퀸,달톤트럼보각본,50,10
빽투더퓨쳐2,10003,9.22,SF,로버트저메키스,마이클J.폭스,밥게일각본,52,30
극장판주술회전0,213733,9.22,애니메이션,박성후,오가타메구미,None,50,20
사랑과영혼,10173,9.22,멜로/로맨스,제리주커,패트릭스웨이지,브루스조엘루빈각본,0,0
인크레더블2,136990,9.22,애니메이션,브래드버드,크레이그T.넬슨,브래드버드각본,37,30
러빙빈센트,144379,9.22,애니메이션,도로타코비엘라,더글러스부스,도로타코비엘라각본,47,20
보루토-나루토더무비,140711,9.22,애니메이션,야마시타히로유키,산페이유코,키시모토마사시각본,61,20
태극기휘날리며,36666,9.22,전쟁,강제규,장동건,강제규각본,0,0
콘택트,18610,9.22,SF,로버트저메키스,조디포스터,제임스하트각본,0,0
